IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.2.183,443,443,true,FRA,Europe,Frankfurt,276,5.10
34.118.123.62,443,443,true,FRA,Europe,Frankfurt,268,5.10
34.116.177.76,443,443,true,FRA,Europe,Frankfurt,348,5.10
34.116.188.237,443,443,true,FRA,Europe,Frankfurt,352,5.10
34.118.2.147,443,443,true,FRA,Europe,Frankfurt,267,5.09
34.118.104.113,443,443,true,FRA,Europe,Frankfurt,268,5.09
34.118.14.212,443,443,true,FRA,Europe,Frankfurt,291,5.09
34.116.156.200,443,443,true,FRA,Europe,Frankfurt,273,5.08
34.116.215.179,443,443,true,FRA,Europe,Frankfurt,351,5.08
34.118.114.236,443,443,true,FRA,Europe,Frankfurt,283,5.08
34.118.57.241,443,443,true,FRA,Europe,Frankfurt,274,5.07
34.118.91.9,443,443,true,FRA,Europe,Frankfurt,269,5.07
34.118.70.10,443,443,true,FRA,Europe,Frankfurt,279,5.07
34.116.195.249,443,443,true,FRA,Europe,Frankfurt,343,5.07
34.118.53.207,443,443,true,FRA,Europe,Frankfurt,268,5.07
34.116.228.34,443,443,true,FRA,Europe,Frankfurt,394,5.07
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,274,5.06
34.116.154.245,443,443,true,FRA,Europe,Frankfurt,266,5.05
34.116.181.51,443,443,true,FRA,Europe,Frankfurt,349,5.05
34.154.33.74,443,443,true,FRA,Europe,Frankfurt,248,5.04
34.118.14.66,443,443,true,FRA,Europe,Frankfurt,267,5.03
34.118.75.210,443,443,true,FRA,Europe,Frankfurt,346,5.03
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,345,5.03
34.65.181.153,443,443,true,FRA,Europe,Frankfurt,251,5.02
34.116.177.76,443,443,true,FRA,Europe,Frankfurt,269,5.00
34.116.249.21,443,443,true,FRA,Europe,Frankfurt,341,5.00
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,266,4.98
34.65.198.87,443,443,true,FRA,Europe,Frankfurt,250,4.94
34.116.240.198,443,443,true,FRA,Europe,Frankfurt,275,4.94
34.118.0.250,443,443,true,FRA,Europe,Frankfurt,326,4.93
34.65.150.119,443,443,true,FRA,Europe,Frankfurt,257,4.91
34.116.179.88,443,443,true,FRA,Europe,Frankfurt,337,4.91
34.116.142.118,443,443,true,FRA,Europe,Frankfurt,332,4.90
34.116.178.157,443,443,true,FRA,Europe,Frankfurt,339,4.89
34.116.178.157,443,443,true,FRA,Europe,Frankfurt,274,4.89
34.118.38.185,443,443,true,FRA,Europe,Frankfurt,295,4.89
34.118.29.115,443,443,true,FRA,Europe,Frankfurt,417,4.88
34.116.157.45,443,443,true,FRA,Europe,Frankfurt,267,4.88
34.116.195.106,443,443,true,FRA,Europe,Frankfurt,330,4.88
34.118.57.241,443,443,true,FRA,Europe,Frankfurt,310,4.86
34.118.5.104,443,443,true,FRA,Europe,Frankfurt,318,4.86
34.118.47.39,443,443,true,FRA,Europe,Frankfurt,274,4.85
34.116.255.60,443,443,true,FRA,Europe,Frankfurt,269,4.85
34.118.47.39,443,443,true,FRA,Europe,Frankfurt,323,4.84
34.116.132.90,443,443,true,FRA,Europe,Frankfurt,514,4.84
34.118.123.62,443,443,true,FRA,Europe,Frankfurt,268,4.84
34.118.62.157,443,443,true,FRA,Europe,Frankfurt,366,4.83
34.116.249.21,443,443,true,FRA,Europe,Frankfurt,266,4.83
34.118.75.210,443,443,true,FRA,Europe,Frankfurt,281,4.83
34.118.69.58,443,443,true,FRA,Europe,Frankfurt,269,4.83
34.118.62.157,443,443,true,FRA,Europe,Frankfurt,274,4.81
34.116.137.121,443,443,true,FRA,Europe,Frankfurt,317,4.79
34.116.157.223,443,443,true,FRA,Europe,Frankfurt,266,4.77
34.116.188.237,443,443,true,FRA,Europe,Frankfurt,268,4.76
34.118.53.207,443,443,true,FRA,Europe,Frankfurt,709,4.73
34.118.80.175,443,443,true,FRA,Europe,Frankfurt,275,4.73
34.154.113.216,443,443,true,FRA,Europe,Frankfurt,295,4.68
34.118.21.89,443,443,true,FRA,Europe,Frankfurt,270,4.67
34.116.251.158,443,443,true,FRA,Europe,Frankfurt,266,4.67
34.116.228.34,443,443,true,FRA,Europe,Frankfurt,267,4.63
34.118.99.186,443,443,true,FRA,Europe,Frankfurt,270,4.62
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,318,4.60
34.116.137.121,443,443,true,FRA,Europe,Frankfurt,275,4.58
34.118.33.218,443,443,true,FRA,Europe,Frankfurt,266,4.57
35.204.13.39,443,443,true,FRA,Europe,Frankfurt,262,4.56
34.116.181.51,443,443,true,FRA,Europe,Frankfurt,268,4.55
34.154.116.71,443,443,true,FRA,Europe,Frankfurt,251,4.55
34.116.141.173,443,443,true,FRA,Europe,Frankfurt,319,4.54
34.116.191.144,443,443,true,FRA,Europe,Frankfurt,266,4.51
34.65.105.132,443,443,true,FRA,Europe,Frankfurt,252,4.49
34.118.14.212,443,443,true,FRA,Europe,Frankfurt,413,4.46
34.118.17.193,443,443,true,FRA,Europe,Frankfurt,269,4.41
34.116.161.128,443,443,true,FRA,Europe,Frankfurt,372,4.38
34.105.140.105,443,443,true,LHR,Europe,London,187,4.19
34.93.0.149,443,443,true,BOM,Asia Pacific,Mumbai,61,3.91
34.175.161.245,2083,80,false,MAD,Europe,Madrid,181,2.60
34.175.244.157,2053,80,false,MAD,Europe,Madrid,183,2.59
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,187,2.59
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,187,2.57
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,188,2.56
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,188,2.47
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,188,2.46
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,188,2.40
34.65.43.232,443,443,true,FRA,Europe,Frankfurt,335,2.39
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,187,2.39
34.175.244.157,2052,80,false,MAD,Europe,Madrid,182,2.37
34.175.161.245,2095,80,false,MAD,Europe,Madrid,183,2.37
34.175.161.245,2052,80,false,MAD,Europe,Madrid,183,2.37
34.175.161.245,2082,80,false,MAD,Europe,Madrid,181,2.37
34.175.244.157,2086,80,false,MAD,Europe,Madrid,182,2.37
34.175.168.99,2087,80,false,MAD,Europe,Madrid,182,2.36
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,188,2.36
34.175.161.245,2053,80,false,MAD,Europe,Madrid,184,2.35
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,188,2.33
34.175.244.157,2087,80,false,MAD,Europe,Madrid,182,2.32
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,190,2.32
34.145.66.39,8080,8080,false,MAA,Asia Pacific,Chennai,418,2.31
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,189,2.31
34.175.168.99,2082,80,false,MAD,Europe,Madrid,182,2.30
34.175.168.99,2083,80,false,MAD,Europe,Madrid,182,2.27
34.145.66.39,8080,8080,false,MAA,Asia Pacific,Chennai,413,2.24
34.175.161.245,2096,80,false,MAD,Europe,Madrid,181,2.21
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,187,2.20
34.175.161.245,2086,80,false,MAD,Europe,Madrid,182,2.20
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,187,2.19
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,189,2.19
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,189,2.18
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,41,2.17
34.175.161.245,2087,80,false,MAD,Europe,Madrid,181,2.17
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,187,2.17
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,188,2.16
34.175.244.157,2082,80,false,MAD,Europe,Madrid,183,2.16
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,190,2.15
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,192,2.15
34.175.244.157,2095,80,false,MAD,Europe,Madrid,182,2.15
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,189,2.13
34.175.244.157,2096,80,false,MAD,Europe,Madrid,183,2.12
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,188,2.11
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,189,2.10
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,188,2.08
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,187,2.05
34.175.244.157,2083,80,false,MAD,Europe,Madrid,182,2.03
34.93.0.149,443,443,true,BOM,Asia Pacific,Mumbai,124,1.98
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,187,1.93
34.89.143.11,443,443,true,FRA,Europe,Frankfurt,298,1.76
34.90.198.51,443,443,true,FRA,Europe,Frankfurt,279,1.32
34.90.191.52,443,443,true,FRA,Europe,Frankfurt,266,0.97
34.141.208.110,443,443,true,FRA,Europe,Frankfurt,275,0.92
34.154.97.242,443,443,true,FRA,Europe,Frankfurt,300,0.53
35.204.152.142,443,443,true,FRA,Europe,Frankfurt,310,0.52
34.116.151.54,443,443,true,FRA,Europe,Frankfurt,404,0.52
34.65.172.12,443,443,true,FRA,Europe,Frankfurt,307,0.49
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,167,0.43
34.91.1.34,443,443,true,FRA,Europe,Frankfurt,307,0.43
34.90.251.239,443,443,true,FRA,Europe,Frankfurt,308,0.41
35.204.46.220,443,443,true,FRA,Europe,Frankfurt,311,0.40
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,61,0.40
35.245.5.87,443,443,true,IAD,North America,Ashburn,263,0.39
34.154.240.202,443,443,true,FRA,Europe,Frankfurt,313,0.38
34.118.63.12,443,443,true,FRA,Europe,Frankfurt,368,0.38
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,354,0.37
35.245.229.160,443,443,true,IAD,North America,Ashburn,308,0.36
35.194.78.251,443,443,true,IAD,North America,Ashburn,285,0.36
34.89.241.113,443,443,true,FRA,Europe,Frankfurt,296,0.35
34.89.189.246,443,443,true,FRA,Europe,Frankfurt,295,0.32
34.65.62.133,443,443,true,FRA,Europe,Frankfurt,292,0.27
34.118.81.8,443,443,true,FRA,Europe,Frankfurt,314,0.26
35.230.174.208,443,443,true,IAD,North America,Ashburn,241,0.26
34.118.31.28,443,443,true,FRA,Europe,Frankfurt,311,0.26
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,388,0.25
34.65.18.192,443,443,true,FRA,Europe,Frankfurt,308,0.24
